#{"t_start": 1767052186.3945732, "env_id": "Reacher-v4"}
r,l,t
-2.692301,50,0.353616
-5.81374,50,0.437985
-0.834719,50,0.521454
-5.655043,50,0.602997
-5.106944,50,0.681767
-0.767877,50,0.75776
