#{"t_start": 1767050405.1275222, "env_id": "Reacher-v4"}
r,l,t
-3.911854,50,132.688807
-4.881537,50,133.257375
-6.181092,50,133.790009
-7.247136,50,134.344466
-2.24587,50,134.923612
-5.058816,50,135.472796
-6.169994,50,136.016884
-7.560544,50,136.558392
-6.796815,50,137.103098
-6.153753,50,137.653428
-4.110605,50,138.194393
-2.571375,50,138.73834
-7.900874,50,139.276491
-5.944625,50,139.83728
-4.639316,50,140.389148
-7.727912,50,140.907876
-6.724574,50,141.434776
-5.759641,50,141.998563
-5.89984,50,142.557042
-2.425754,50,143.126597
-6.032953,50,143.671618
-5.931418,50,144.24781
-2.423205,50,144.761835
-4.628793,50,145.31204
-4.972841,50,145.859214
-5.996132,50,146.431551
-6.730795,50,146.974315
-3.878945,50,147.516195
-7.004878,50,148.022683
-4.328218,50,148.590363
-1.806329,50,149.152045
-4.246227,50,149.713826
-4.327218,50,150.250158
-4.167288,50,150.796189
-4.528878,50,151.333436
-5.577211,50,151.862071
-7.122784,50,152.417874
-6.320592,50,152.993405
-5.926288,50,153.534843
-6.964532,50,154.089813
-2.934592,50,154.629981
-4.350255,50,155.175976
-4.626969,50,155.731692
-2.069016,50,156.275837
-3.517361,50,156.820414
-4.034702,50,157.359907
-5.199113,50,157.890098
-2.78399,50,158.437381
-6.677191,50,158.972653
-5.934594,50,159.548386
-4.290613,50,160.083354
-2.331226,50,160.592347
-4.422572,50,161.137993
-4.726066,50,161.694107
-6.779473,50,162.25833
-5.089485,50,162.803998
-6.135734,50,163.349882
-3.871225,50,163.907248
-7.0651,50,164.445045
-5.210605,50,164.988712
-4.573007,50,165.514253
-4.215153,50,166.070848
-4.098683,50,166.576569
-4.622425,50,167.109438
-2.934936,50,167.637616
-4.201617,50,168.196292
-3.762844,50,168.753681
-4.539771,50,169.299187
-4.297417,50,169.845621
-5.46148,50,170.37879
-1.835332,50,170.938533
-6.460127,50,171.494987
-3.577652,50,172.036322
-5.626117,50,172.576408
-4.625447,50,173.124348
-2.834915,50,173.656431
-7.026743,50,174.192036
-6.49865,50,174.761922
-3.068563,50,175.299043
-4.597557,50,175.826536
-2.57425,50,176.381112
-7.512914,50,176.926707
-3.316876,50,177.490658
-5.799728,50,178.014604
-3.363641,50,178.5586
-2.327337,50,179.105732
-3.041705,50,179.633029
-3.517089,50,180.166351
-3.992252,50,180.70285
-2.484294,50,181.259653
-5.546878,50,181.779024
-2.597531,50,182.324386
-5.239115,50,182.882387
-5.795789,50,183.447264
-6.316195,50,183.99304
-3.273911,50,184.552538
-6.466794,50,185.273707
-5.771529,50,185.884513
-2.690674,50,186.529787
-7.860169,50,187.083462
-5.099051,50,187.619843
-4.808963,50,188.165191
-5.548596,50,188.747584
-6.076236,50,189.289838
-6.177806,50,189.816723
-2.9287,50,190.39896
-5.095898,50,191.034606
-4.429096,50,191.761439
-3.813112,50,192.368624
-4.841206,50,193.00103
-2.372104,50,193.625392
-4.338203,50,194.239755
-3.567617,50,194.844741
-5.35826,50,195.446813
-5.064477,50,196.066445
-5.175715,50,196.669856
-2.735447,50,197.254294
-5.729473,50,197.853222
-3.53177,50,198.485994
-6.428794,50,199.10422
-5.871622,50,199.736233
-6.374418,50,200.339195
-2.784596,50,200.935617
-3.935008,50,201.982027
-5.966496,50,202.667392
-4.121171,50,203.280066
-3.154724,50,203.862653
-5.263558,50,204.459822
-5.637369,50,205.030659
-2.915426,50,205.636009
-5.589625,50,206.213435
-5.145044,50,206.755958
-6.175862,50,207.296006
-3.021549,50,207.884028
-4.23098,50,208.441508
-6.781067,50,209.021097
-6.924831,50,209.615619
-3.526161,50,210.169564
-5.590868,50,210.736132
-5.75762,50,211.318335
-6.003354,50,211.872564
-3.455899,50,212.479285
-7.209305,50,213.07728
-6.725452,50,213.659771
-3.563167,50,214.245508
-4.524956,50,214.817742
-4.838936,50,215.369035
-5.693409,50,215.954044
-2.728058,50,216.706137
-3.184879,50,217.300209
-4.174818,50,217.883687
-2.409578,50,218.413639
-3.659189,50,218.944408
-4.227248,50,219.501121
-7.803011,50,220.044727
-4.868239,50,220.644054
-2.817732,50,221.234759
-2.171829,50,221.835609
-4.854961,50,222.38809
-5.60896,50,222.924513
-4.372661,50,223.515316
-5.923426,50,224.046309
-3.233591,50,224.604775
-2.028425,50,225.16897
-6.302696,50,225.706858
-6.146285,50,226.309269
-4.326619,50,226.842668
-5.447632,50,227.41539
-4.239937,50,228.003463
-7.316551,50,228.590618
-2.095609,50,229.151823
-5.428455,50,229.672075
-4.381443,50,230.251766
-6.642477,50,230.831769
-3.706589,50,231.509305
-5.148665,50,232.114282
-4.191361,50,232.693471
-2.222797,50,233.279909
-5.705342,50,233.840207
-4.20431,50,234.427435
-3.636099,50,235.02966
-3.978247,50,235.593229
-5.502388,50,236.177565
-4.532765,50,236.768549
-3.778889,50,237.352075
-4.164063,50,237.939081
-3.960736,50,238.515254
-5.432628,50,239.083947
-6.497715,50,239.665584
-5.97981,50,240.237691
-6.147874,50,240.829559
-6.074094,50,241.381755
-5.161809,50,241.956751
-4.19568,50,242.558657
-7.25151,50,243.13919
-4.84646,50,243.713038
-6.672536,50,244.310448
-5.078538,50,244.908114
-3.925045,50,245.501598
-5.488922,50,246.075867
-5.578885,50,246.907718
-4.984197,50,247.525631
-4.618897,50,248.122526
-4.424545,50,248.684327
-4.136599,50,249.25337
-4.989407,50,249.76892
-1.599806,50,250.286085
-2.775216,50,250.837536
-7.108771,50,251.409667
-4.939386,50,251.97255
-7.513505,50,252.552179
-3.575339,50,253.079396
-4.954611,50,253.604619
-2.890452,50,254.207512
-6.317649,50,254.783472
-5.527031,50,255.349535
-7.182681,50,255.934834
-4.499093,50,256.514197
-4.632437,50,257.084766
-4.427227,50,257.67044
-3.478211,50,258.231277
-5.03806,50,258.848184
-6.978024,50,259.445031
-6.625998,50,260.008617
-2.815717,50,260.625416
-5.435755,50,261.221142
-4.321283,50,261.937012
-6.036568,50,262.454729
-3.511189,50,263.038013
-6.979339,50,263.637498
-5.981733,50,264.169318
-4.532211,50,264.727551
-5.243944,50,265.319708
-4.5213,50,265.928203
-3.816642,50,266.513451
-6.569421,50,267.109692
-6.204851,50,267.654165
-5.721316,50,268.219981
-7.831533,50,268.771475
-4.516385,50,269.349644
-2.219909,50,269.922444
-2.713346,50,270.526016
-5.727196,50,271.099856
-5.770284,50,271.653876
-4.180549,50,272.234476
-4.369948,50,272.798127
-6.142856,50,273.374966
-4.482537,50,273.923084
-2.983651,50,274.497948
-3.001797,50,275.101096
-7.538579,50,275.675944
-4.060097,50,276.259536
-1.875129,50,277.035975
-5.877297,50,277.659778
-7.748529,50,278.256745
-3.710297,50,278.829573
-1.859132,50,279.412706
-7.319685,50,279.974551
-2.745717,50,280.553226
-2.152508,50,281.119176
-7.693172,50,281.67114
-5.233516,50,282.269828
-1.813827,50,282.838133
-4.4972,50,283.416945
-3.294052,50,283.968677
-2.146241,50,284.540581
-6.742063,50,285.09683
-3.856997,50,285.651522
-7.019123,50,286.180735
-7.841233,50,286.752862
-6.097491,50,287.330214
-5.33767,50,287.889204
-6.572154,50,288.450843
-2.690976,50,289.006044
-3.958862,50,289.575262
-5.974233,50,290.176832
-4.481575,50,290.786804
-4.99028,50,291.48244
-4.941324,50,292.051708
-4.474422,50,292.657311
-5.054536,50,293.177382
-4.389395,50,293.729051
-2.910071,50,294.288364
-3.382762,50,294.838691
-3.035428,50,295.391985
-6.670129,50,295.968731
-5.779394,50,296.537007
-4.571522,50,297.120849
-3.612033,50,297.686173
-6.741548,50,298.265934
-3.670256,50,298.831945
-6.879356,50,299.399538
-3.827184,50,299.974462
