#{"t_start": 1767048764.4368377, "env_id": "Reacher-v4"}
r,l,t
-6.569334,50,135.917916
-6.364563,50,136.45653
-15.075507,50,136.985809
-5.222867,50,137.50589
-12.329481,50,138.029677
-6.303559,50,138.565121
-6.464182,50,139.090768
-8.375235,50,139.632272
-8.309435,50,140.150281
-10.166507,50,140.688782
-3.740919,50,141.228105
-10.076378,50,141.746892
-5.359315,50,142.346954
-6.618651,50,142.90894
-7.456104,50,143.465721
-6.592583,50,144.015634
-4.596371,50,144.592632
-8.378488,50,145.146713
-7.534896,50,145.707393
-5.654984,50,146.225837
-3.639021,50,146.749442
-4.996623,50,147.29283
-6.519428,50,147.806373
-4.195805,50,148.34582
-6.622605,50,148.929681
-5.754748,50,149.477589
-5.394786,50,150.00506
-6.007051,50,150.542246
-4.233021,50,151.072132
-6.670664,50,151.610959
-2.259152,50,152.128208
-4.952668,50,152.655436
-6.997592,50,153.200221
-9.198188,50,153.746015
-4.952783,50,154.32129
-5.311791,50,154.880783
-5.275889,50,155.441913
-5.207133,50,155.996835
-5.391113,50,156.516553
-4.557388,50,157.058889
-5.958062,50,157.57833
-5.522435,50,158.115459
-5.990751,50,158.628407
-5.549268,50,159.15511
-4.092431,50,159.666356
-5.207928,50,160.230679
-9.027356,50,160.759919
-10.304797,50,161.276926
-6.073905,50,161.787131
-5.819574,50,162.323624
-5.46825,50,162.857587
-3.554267,50,163.417644
-4.784491,50,163.932184
-8.284634,50,164.471565
-9.121582,50,165.00714
-8.062558,50,165.534444
-4.745634,50,166.073244
-6.73581,50,166.623364
-5.133837,50,167.156401
-6.084918,50,167.686423
-4.442268,50,168.203155
-3.292819,50,168.733482
-5.457294,50,169.269766
-6.818025,50,169.798639
-7.055408,50,170.309327
-5.315392,50,170.827551
-3.133949,50,171.337899
-2.663005,50,171.862371
-5.009519,50,172.430908
-5.291592,50,172.965811
-7.080558,50,173.497033
-3.29552,50,174.011658
-7.402184,50,174.549237
-4.700885,50,175.104982
-5.27475,50,175.63336
-9.996794,50,176.204649
-5.181507,50,176.743475
-3.844571,50,177.28036
-6.8465,50,177.809533
-8.585126,50,178.360258
-5.126568,50,178.892219
-3.908713,50,179.4189
-5.183598,50,179.975815
-7.930897,50,180.533653
-5.66287,50,181.056594
-3.688308,50,181.594106
