#{"t_start": 1767050395.44024, "env_id": "Reacher-v4"}
r,l,t
-4.033444,50,0.298728
-4.079136,50,0.374033
-3.901379,50,0.449109
-3.853527,50,0.524532
-3.487582,50,0.600791
-5.609328,50,0.679146
